"at","score","content","sentiment","pos_score","neg_score"
"2026-01-02 09:27:13","5","웹툰은 카웹이랑 네웹빼고볼앱이없어서 네웹만보긴하는데 그래도카웹보다좋음","긍정","0","0"
"2026-01-02 08:12:51","5","여기엄청좋아요 외국에서도쉽게읽을수있어요","긍정","2","0"
"2026-01-02 06:54:26","5","재밌어용!! 근데 자동스크롤 기능이 있으면 좋겠네요 나머지는 다 괜찮은 것 같아요 :)","긍정","2","0"
"2026-01-02 03:49:58","5","좋아요","긍정","2","0"
"2026-01-02 03:33:38","5","굿","긍정","0","0"
"2026-01-02 03:01:47","5","재미있는웹툰ㅎ","긍정","2","0"
"2026-01-01 12:32:43","5","쿠키를 안사도 공짜로 얻을수있고 재미있는 웹툰들도 많아서 매우 좋습니다","긍정","3","0"
"2026-01-01 11:30:44","5","너무 좋음","긍정","0","0"
"2026-01-01 11:28:36","5","잘 보고 있습니다 정말 좋아요 그리고 제작자님 새해 복 많이 받으세요^^ 2026년도도 화이팅입니다^^♡","긍정","2","0"
"2026-01-01 09:05:39","4","진짜 거짓말 안하고 솔찍히 말할게요. 밖에서 웹툰을 볼때 데이터가 쫌 많이 달아요.그래서 쫌 별로에요.그리고 진짜 재밌있는 웹툰이 너무 많아서 다보면 시간이 쭉쭉가요. 아 그리고 쿠키 라는게 있거든요.쿠키는 잠금? 을 쿠키로 사서 볼수있어요.지금 이벤트 하고 있어요! 쿠키는 돈으로 사야되요!!!!!!찐짜 추천 함다","긍정","2","1"
"2026-01-01 06:44:15","5","꿀잼","긍정","3","0"
"2026-01-01 06:31:14","5","매일 웹툰보는게 일상이 됄것 같음!! 그림체 개 이쁨..;;","긍정","0","0"
"2026-01-01 05:33:23","5","너무나도 재미있어요","긍정","2","0"
"2026-01-01 03:42:01","4","화산귀환 재밌음.(다른 웹툰들도) 장점:그냥 재밌음.시간이 순삭/ 단점:요즘은 양산형웹툰들이 너무많음.그리고 별점테러하는 사람들이 많음./건의사항:그..작가님들 대우좀 잘해줍시다..","긍정","0","0"
"2026-01-01 02:13:39","5","캐릭터챗에서 자신이 대화했던 모든 캐릭터들의 채팅을 초기화 하면 호감도도 전부 초기화 되게 해주세요.","긍정","0","0"
"2025-12-31 14:25:39","5","신선한 내용도 많고 너무 즐겁게 보고있습니다 25년도 고생하셨고 26년에도 기대 하겠습니다..","긍정","0","0"
"2025-12-31 12:51:20","1","캡쳐 버튼 너무 불편해요.. 너무 예뻐서 그 장면만 저장하고 싶었던 건데 저장까지 뭔 버튼이 그렇게 많은지 몰입 다 끊겨요. 차라리 타사 가서 웹툰 보는 게 더 편할 것 같아요. 꼭 고려해서 개선해주시면 좋겠습니다. 캡쳐 버튼은 캡쳐만 기능하는 게 맞습니다","부정","2","2"
"2025-12-31 12:14:55","5","이번 년도 연말결산 없나요","긍정","0","0"
"2025-12-31 11:11:24","5","저어어어ㅓㅇ마루좋습니다!!!!!!","긍정","1","0"
"2025-12-31 07:24:58","3","포인트30 으로 쿠키 3개 샀는데 몇시간째 안들어오네요","중립","0","0"
